,log2FC,mean_expression_cancer,mean_expression_control,dispersion,variance,pct_samples_expressed,pvalue,padj,baseMean,abs_log2FC,expression_ratio,cv
ENSG00000004478,0.412338707562588,11279.0942759976,8475.23839931968,0.135828398873857,0.309645510420951,100.0,1.03342287092358e-07,3.17988824076923e-07,11015.4405588416,0.412338707562588,1.3307901152123,0.0417665863670935
ENSG00000004487,0.275132836963307,5843.13529144497,4828.74952649287,0.0550046656939792,0.117403165195982,100.0,2.52304047523528e-08,8.37970612849028e-08,5747.75001155797,0.275132836963307,1.21002864835699,0.027527746837002
ENSG00000004534,0.55173603412232,4532.69674191129,3092.05210287147,0.175737586718437,0.379514681098702,100.0,3.93914547267458e-10,1.63738827815086e-09,4397.22925324931,0.55173603412232,1.46576798292611,0.0514890419028303
ENSG00000004660,-0.262557703911241,705.566134770595,846.625307040897,0.27333365529501,0.562056699585799,100.0,0.0171075072556668,0.0255534098409956,718.830288401799,0.262557703911241,0.83358310435215,0.0807555919540226
ENSG00000004700,-0.639545169061931,502.703837496074,783.358109748831,0.289627693064242,0.870748781367075,97.6491862567812,1.68517931617274e-08,5.72823748554802e-08,529.094474308268,0.639545169061931,0.642186051543945,0.10585555895188
ENSG00000004766,-0.0630340365609907,1177.47230864503,1230.05998896751,0.0884098562150316,0.165621413768475,100.0,0.315235458881038,0.366270596458664,1182.41726231008,0.0630340365609907,0.957282601340504,0.0401194664649348
ENSG00000004776,-1.00198322479632,952.663578832847,1907.76343276814,1.07394839297633,2.4181520321768,98.0108499095841,4.24949360825349e-06,1.06513754729819e-05,1042.47405334394,1.00198322479632,0.499623768174256,0.171071122633247
ENSG00000004777,0.610017251142183,535.739383558171,350.976855267624,0.289934273153912,0.67775658379005,100.0,8.03134472833926e-08,2.50335230439062e-07,518.36569192868,0.610017251142183,1.52492806139217,0.0936381150053582
ENSG00000004779,0.347967657016218,2510.21295745673,1971.99639393311,0.142737909834766,0.280823852200784,100.0,1.21550561847304e-05,2.85983091904022e-05,2459.60308168236,0.347967657016218,1.272791458301,0.0475001933353695
ENSG00000004799,-3.07031943901804,3872.40296530577,32526.7915749271,0.997233656030509,2.70874653350751,99.8191681735986,1.88731203734511e-48,4.86621205158408e-46,6566.84818718697,3.07031943901804,0.119079801540891,0.14467154573665
ENSG00000004809,1.712418332408,25.4386438844363,7.7457269477284,1.53883529609352,3.20687922233112,11.754068716094,2.22534084143272e-10,9.50935924271017e-10,23.7749337927386,1.712418332408,3.02303559697841,0.516808742878304
ENSG00000004838,2.04074591207415,152.164336965186,37.0079023683726,1.13716163063284,2.29660573380671,56.4195298372514,1.9850814669689904e-19,2.60512225751252e-18,141.335883802375,2.04074591207415,4.02980242057867,0.247380044883784
ENSG00000004848,1.12792515807031,297.702722079071,136.204576665749,1.47078877479593,4.1799596273079,71.9710669077758,1.00931959578414e-05,2.40374904548808e-05,282.516639689392,1.12792515807031,2.17706092127492,0.298197565432302
ENSG00000004864,0.124814165506677,1625.22233839425,1490.92919216438,0.12374102291867,0.255916442405869,100.0,0.0922022338145514,0.120478593342564,1612.59441144316,0.124814165506677,1.09001308301706,0.0478842426981785
ENSG00000004866,-0.0972007632157986,1422.69316719034,1521.99362994153,0.124211554720503,0.260658514312931,100.0,0.190569952458067,0.233165595006789,1432.03064289208,0.0972007632157986,0.934799160811327,0.049122950097221
ENSG00000004897,-0.204859828582319,2205.08172541215,2541.76466260961,0.0517961862751996,0.112801403845938,100.0,1.97901834386791e-05,4.52682695669093e-05,2236.740880447,0.204859828582319,0.867591782224972,0.0302878541413037
ENSG00000004961,-0.093818296148061,869.79464900465,928.360966122349,0.040580933478767,0.0861888682846046,100.0,0.0286081913566436,0.0410028136234801,875.30178913145,0.093818296148061,0.936982163817294,0.0301264300133425
ENSG00000004975,-0.21141471114751,2149.53518237216,2488.78786091472,0.0534463086723264,0.124291004043191,100.0,1.45483983215313e-05,3.38253637145483e-05,2181.43597673782,0.21141471114751,0.863742335695248,0.0319007530535354
ENSG00000005001,-0.151010522963979,772.773975042199,858.003229537087,0.356263646257304,0.879472032454466,99.4575045207957,0.229431114954707,0.275408444372236,780.788299153834,0.151010522963979,0.900781217620314,0.100431727825375
ENSG00000005007,0.205663829372676,10072.6390039493,8734.97290252345,0.0451073383945159,0.106606957767759,100.0,4.19103710557908e-06,1.05153768706523e-05,9946.8548497465,0.205663829372676,1.15312159462393,0.0246487371411684
ENSG00000005020,0.147109520774928,1780.92604437039,1608.49902293596,0.157029288127733,0.334553709443679,100.0,0.0779028879428685,0.103342009102089,1764.71229190278,0.147109520774928,1.10713086431075,0.0542114897947583
